accession	tax_id	scientific_name	last_updated	base_count	first_public	description
U64537	7237	Drosophila pseudoobscura	2005-04-18	3465	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS277 allele, complete cds.
U64542	7237	Drosophila pseudoobscura	2005-04-18	3481	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS308 allele, complete cds.
U64546	7237	Drosophila pseudoobscura	2005-04-18	3504	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS322 allele, complete cds.
U64557	7237	Drosophila pseudoobscura	2005-04-18	3457	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS352 allele, complete cds.
U64539	7237	Drosophila pseudoobscura	2005-04-18	3489	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS295 allele, complete cds.
MN267997	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_PO_21 ADH-related protein (ADH-R) gene, partial cds.
MN267975	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_NB_7 ADH-related protein (ADH-R) gene, partial cds.
MN267993	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_MS_18 ADH-related protein (ADH-R) gene, partial cds.
MN267999	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_PO_84 ADH-related protein (ADH-R) gene, partial cds.
MN268007	193351	Drosophila transversa	2019-08-23	552	2019-08-23	Drosophila transversa isolate T_UP_3 ADH-related protein (ADH-R) gene, partial cds.
MN267968	55946	Drosophila recens	2019-08-23	553	2019-08-23	Drosophila recens isolate R_HI_45 ADH-related protein (ADH-R) gene, partial cds.
MN267974	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_NB_6 ADH-related protein (ADH-R) gene, partial cds.
MN267987	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_HI_26 ADH-related protein (ADH-R) gene, partial cds.
MN267995	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_MS_4 ADH-related protein (ADH-R) gene, partial cds.
MN267979	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_NY_18 ADH-related protein (ADH-R) gene, partial cds.
MN267990	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_KA_175 ADH-related protein (ADH-R) gene, partial cds.
MN267996	198725	Drosophila subquinaria	2019-08-23	552	2019-08-23	Drosophila subquinaria isolate S_PO_101 ADH-related protein (ADH-R) gene, partial cds.
MN267970	55946	Drosophila recens	2019-08-23	552	2019-08-23	Drosophila recens isolate R_KA_174 ADH-related protein (ADH-R) gene, partial cds.
AF006567	7234	Drosophila persimilis	2005-04-15	3502	1997-09-11	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
M55545	7241	Drosophila subobscura	2010-12-01	3980	1992-04-30	Drosophila subobscura alchohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
U65746	7264	Drosophila buzzatii	2005-04-18	8725	1996-10-21	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.
AJ005667	7244	Drosophila virilis	2005-04-15	109	1998-10-22	Drosophila virilis ADH gene, partial
LC165396	1870889	Drosophila unipectinata	2019-06-04	549	2019-06-04	Drosophila unipectinata Adh gene, partial cds.
MG010087	46790	Drosophila equinoxialis	2018-12-07	405	2018-11-09	Drosophila equinoxialis Adh gene, partial cds.
M37276	7230	Drosophila mojavensis	2006-11-14	8783	1990-09-13	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.
X62193	7237	Drosophila pseudoobscura	2006-11-14	3483	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62220	7237	Drosophila pseudoobscura	2006-11-14	3479	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62206	7237	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62214	7237	Drosophila pseudoobscura	2006-11-14	3486	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62228	7237	Drosophila pseudoobscura	2006-11-14	3464	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64480	7237	Drosophila pseudoobscura	2006-11-14	3470	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62204	7237	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62199	7237	Drosophila pseudoobscura	2006-11-14	3475	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62226	7237	Drosophila pseudoobscura	2006-11-14	3466	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62195	7237	Drosophila pseudoobscura	2006-11-14	3499	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64486	7237	Drosophila pseudoobscura	2006-11-14	3475	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY081440	141217	Drosophila tripunctata	2005-04-16	217	2002-08-09	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.
AY750123	7252	Drosophila melanica	2006-07-20	911	2005-12-31	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.
AY750132	55945	Drosophila euronotus	2006-07-20	911	2005-12-31	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.
AY750144	311480	Drosophila medioconstricta	2006-07-20	911	2005-12-31	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.
DQ471630	381452	Drosophila barutani	2006-07-20	711	2006-07-20	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.
HQ631470	42026	Drosophila bipectinata	2012-01-02	290	2011-08-30	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.
U26839	40368	Drosophila borealis	2005-04-17	961	1995-06-30	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.
AF264077	7271	Drosophila nebulosa	2005-04-15	405	2000-05-30	Drosophila nebulosa alcohol dehydrogenase (Adh) gene, partial cds.
AY750118	311474	Drosophila longiserrata	2006-07-20	911	2005-12-31	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.
AY750130	311476	Drosophila neokadai	2006-07-20	911	2005-12-31	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.
DQ471667	30043	Drosophila repleta	2006-07-20	711	2006-07-20	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.
HQ631471	103765	Drosophila bocki	2012-01-02	290	2011-08-30	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.
HQ631473	2609304	Drosophila curveaedeagus (nomen nudum)	2012-01-02	290	2011-08-30	Drosophila curveadeagus alcohol dehydrogenase (adh) gene, partial cds.
HQ631484	187394	Drosophila pulchrella	2012-01-02	290	2011-08-30	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.
AF059889	7252	Drosophila melanica	2005-04-15	290	1998-04-28	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.
AY006409	46893	Drosophila adunca	2005-09-26	508	2001-09-04	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.
AY006411	7235	Drosophila picticornis	2005-09-26	510	2001-09-04	Drosophila picticornis alcohol dehydrogenase (Adh) gene, partial cds.
AY006413	46820	Drosophila nigribasis	2005-09-26	510	2001-09-04	Drosophila nigribasis alcohol dehydrogenase (Adh) gene, partial cds.
AY750116	119604	Drosophila lacertosa	2006-07-20	911	2005-12-31	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.
U94203	58309	Drosophila petalopeza	2005-04-18	204	1998-02-23	Drosophila petalopeza alcohol dehydrogenase (Adh) gene, partial cds.
DQ471659	54075	Drosophila eohydei	2006-07-20	711	2006-07-20	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.
DQ471655	40366	Drosophila americana	2006-07-20	711	2006-07-20	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.
DQ471661	50033	Drosophila kanekoi	2006-07-20	711	2006-07-20	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.
AY006417	48320	Drosophila neoperkinsi	2005-09-26	510	2001-09-04	Drosophila neoperkinsi alcohol dehydrogenase (Adh) gene, partial cds.
AY750127	311477	Drosophila paramelanica	2006-07-20	911	2005-12-31	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.
AY750136	311481	Drosophila okadai	2006-07-20	911	2005-12-31	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.
AY750139	55950	Drosophila sordidula	2006-07-20	911	2005-12-31	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.
GQ376034	65964	Drosophila pseudoananassae	2009-08-03	410	2009-08-02	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.
OP168391	7278	Drosophila bromeliae	2023-06-15	895	2023-06-14	Drosophila bromeliae isolate Dbm_Ah Adh gene, partial cds.
OP168475	7278	Drosophila bromeliae	2023-06-15	780	2023-06-14	Drosophila bromeliae isolate Dbm_4610 Adh gene, partial cds.
GQ376035	42026	Drosophila bipectinata	2009-08-03	410	2009-08-02	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.
U90956	7284	Drosophila tristis	2006-11-14	428	1997-11-14	Drosophila tristis alcohol dehydrogenase (Adh) gene, partial cds.
X68165	7237	Drosophila pseudoobscura	2006-11-14	3460	1992-10-08	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase (PS314)
AB261136	88884	Drosophila pallidifrons	2007-11-03	861	2007-11-03	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.
AB932662	1503162	Drosophila multispina	2014-10-26	852	2014-10-26	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.
LC165378	103775	Drosophila gunungcola	2019-06-04	554	2019-06-04	Drosophila gunungcola Adh gene, partial cds, strain: GNL MTK.
AB932646	309934	Drosophila angularis	2014-10-26	840	2014-10-26	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.
AB932648	188282	Drosophila bizonata	2015-01-14	844	2015-01-14	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.
LC165382	44481	Drosophila imaii	2019-06-04	547	2019-06-04	Drosophila imaii Adh gene, partial cds, strain: imaii-HUE.
U26842	40370	Drosophila montana	2005-04-17	957	1995-06-22	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.
X57374	7245	Drosophila yakuba	2006-11-14	975	1991-07-17	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase
X60793	7227	Drosophila melanogaster	2006-11-14	2763	1991-10-07	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase
AB261135	157059	Drosophila siamana	2007-11-03	855	2007-11-03	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.
AB932678	193351	Drosophila transversa	2014-10-26	839	2014-10-26	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.
AH000980	7227	Drosophila melanogaster	2016-06-13	2474	2016-06-13	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.
U95266	7260	Drosophila willistoni	2005-04-18	1159	1999-01-06	Drosophila willistoni PA2 alcohol dehydrogenase (Adh) gene, complete cds.
AB932664	198721	Drosophila nigromaculata	2015-01-14	849	2015-01-14	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.
AB932679	141217	Drosophila tripunctata	2014-10-26	836	2014-10-26	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.
AB932680	193352	Drosophila unispina	2015-01-14	848	2015-01-14	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.
X57376	7245	Drosophila yakuba	2006-11-14	975	1991-07-17	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase
U95260	7260	Drosophila willistoni	2005-04-18	1172	1999-01-06	Drosophila willistoni Lima alcohol dehydrogenase (Adh) gene, complete cds.
X57372	7245	Drosophila yakuba	2006-11-14	975	1991-07-17	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase
AY156525	7232	Drosophila navojoa	2005-04-16	878	2003-03-03	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.
LC165371	7216	Drosophila ambigua	2019-06-04	557	2019-06-04	Drosophila ambigua Adh gene, partial cds, strain: 14013-1011.00.
M60980	7237	Drosophila pseudoobscura	2006-11-14	3476	1992-01-26	Drosophila pseudoobscura (strain AH54) alcohol dehydrogenase (adh) gene, complete cds.
HQ110512	30039	Drosophila neocordata	2011-06-02	830	2011-05-06	Drosophila neocordata isolate D_neoc_c1 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110514	30039	Drosophila neocordata	2011-06-02	819	2011-05-06	Drosophila neocordata isolate D_neoc_c3 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110515	30042	Drosophila prosaltans	2011-06-02	859	2011-05-06	Drosophila prosaltans isolate D_pros_c1 alcohol dehydrogenase (Adh) gene, partial cds.
LC165377	7266	Drosophila guanche	2019-06-04	342	2019-06-04	Drosophila guanche Adh gene, partial cds, strain: 14011-0095.00.
LC165392	7273	Drosophila saltans	2019-06-04	558	2019-06-04	Drosophila saltans Adh gene, partial cds, strain: 14045-0911.00.
AY095943	126591	Drosophila curvispina	2008-12-16	443	2003-05-01	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.
AY335198	7273	Drosophila saltans	2005-04-16	854	2003-12-31	Drosophila saltans clone Dsalt2L alcohol dehydrogenase (Adh) gene, partial cds.
DQ471613	381448	Drosophila angor	2006-07-20	711	2006-07-20	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471644	381452	Drosophila barutani	2006-07-20	711	2006-07-20	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471653	50033	Drosophila kanekoi	2006-07-20	711	2006-07-20	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471654	65966	Drosophila tsigana	2006-07-20	711	2006-07-20	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.
EU532128	46793	Drosophila paulistorum	2010-01-21	562	2010-01-21	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
M60981	7237	Drosophila pseudoobscura	2006-11-14	3475	1992-01-26	Drosophila pseudoobscura (strain AH69) alcohol dehydrogenase (adh) gene, complete cds.
M60985	7237	Drosophila pseudoobscura	2006-11-14	3465	1992-04-30	Drosophila pseudoobscura (strain AH135) alcohol dehydrogenase (adh) gene, complete cds.
M60988	7237	Drosophila pseudoobscura	2006-11-14	3467	1992-04-30	Drosophila pseudoobscura (strain AH165) alcohol dehydrogenase (adh) gene, complete cds.
U95258	7260	Drosophila willistoni	2005-04-18	1172	1999-01-06	Drosophila willistoni Cano Mora alcohol dehydrogenase (Adh) gene, complete cds.
DQ471628	381448	Drosophila angor	2006-07-20	711	2006-07-20	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.
EU532129	46793	Drosophila paulistorum	2010-01-21	558	2010-01-21	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.
AY095938	193351	Drosophila transversa	2008-12-16	437	2003-05-01	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.
AF284481	7238	Drosophila sechellia	2006-11-14	700	2000-11-02	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.
MK017201	309934	Drosophila angularis	2018-12-05	495	2018-12-05	UNVERIFIED: Drosophila angularis adh-related-like (Adhr) gene, partial sequence.
AB669850	137355	Drosophila burlai	2014-01-02	833	2014-01-02	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.
AB669859	103765	Drosophila bocki	2014-01-02	831	2014-01-02	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.
AF136661	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.
AF136695	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.
LC057782	7291	Drosophila albomicans	2015-06-26	851	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: MMY1.
LC057784	7291	Drosophila albomicans	2015-06-26	851	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TAK2.
LC057786	7291	Drosophila albomicans	2015-06-26	851	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TSN7.
U95271	46793	Drosophila paulistorum	2005-04-18	1167	1999-01-06	Drosophila paulistorum Andean-Brazilian, ABM alcohol dehydrogenase (Adh) gene, complete cds.
AF136667	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.
AF136668	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.
AF136699	40372	Drosophila americana texana	2005-04-15	884	1999-06-03	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.
AF459753	125945	Drosophila biarmipes	2006-11-14	290	2002-05-16	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459763	94109	Drosophila watanabei	2006-11-14	290	2002-05-16	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459771	30033	Drosophila kikkawai	2006-11-14	290	2002-05-16	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
LC057205	1660393	Drosophila sp. XT-32	2019-06-04	836	2019-06-04	Drosophila sp. XT-32 Adh gene for alcohol dehydrogenase, partial cds.
LC057774	7291	Drosophila albomicans	2015-06-26	851	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: CM137.
LC057783	7291	Drosophila albomicans	2015-06-26	851	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: NG3.
LC057785	7291	Drosophila albomicans	2015-06-26	851	2015-06-26	Drosophila albomicans Adh gene for alchol dehydrogenase, partial cds, strain: TOK5.
LC057796	42062	Drosophila nasuta	2015-06-26	851	2015-06-26	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: I7.
LC057798	42062	Drosophila nasuta	2015-06-26	851	2015-06-26	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: M22.
LC057799	42062	Drosophila nasuta	2015-06-26	851	2015-06-26	Drosophila nasuta Adh gene for alchol dehydrogenase, partial cds, strain: MS77.
LC165379	77129	Drosophila helvetica	2019-06-04	551	2019-06-04	Drosophila helvetica Adh gene, partial cds, strain: YAT-hel-7.15.
AB669834	67533	Drosophila rufa	2014-01-02	838	2014-01-02	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.
AB669882	112146	Drosophila bicornuta	2014-01-02	838	2014-01-02	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.
AF136694	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.
AF459772	74550	Drosophila lini	2006-11-14	290	2002-05-16	Drosophila lini alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
EF560573	306027	Drosophila brncici	2008-07-12	622	2008-05-01	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.
AY804554	129105	Drosophila santomea	2005-10-06	759	2005-10-06	Drosophila santomea strain STO.4 alcohol dehydrogenase (Adh) gene, partial cds.
AF136688	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.
AB669824	154832	Drosophila asahinai	2014-01-02	839	2014-01-02	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.
AB669858	137354	Drosophila barbarae	2014-01-02	833	2014-01-02	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: MMY317.
AB669864	30033	Drosophila kikkawai	2014-01-02	832	2014-01-02	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: NAHA1.
AF136659	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.
AF136682	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.
AF459775	67534	Drosophila triauraria	2006-11-14	290	2002-05-16	Drosophila triauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
U76477	7224	Drosophila hydei	2005-04-18	897	1996-11-19	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
U76473	7224	Drosophila hydei	2005-04-18	897	1996-11-19	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AB703325	7259	Drosophila tolteca	2012-03-18	405	2012-03-18	Drosophila tolteca Adh gene for alcohol dehydrogenase, partial cds, clone: D.tolteca.
AF136676	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.
AH011594	73155	Drosophila biauraria	2016-04-08	565	2016-04-08	Drosophila biauraria strain 14028-0501.0 alcohol dehydrogenase (Adh) gene, partial cds.
AY340307	40366	Drosophila americana	2005-04-16	881	2003-08-13	Drosophila americana pop-variant NN00.09Y alcohol dehydrogenase (Adh) gene, partial cds.
AY874369	7241	Drosophila subobscura	2005-05-31	1406	2005-05-31	Drosophila subobscura strain line 21 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AF136651	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana D.am-.1X alcohol dehydrogenase (Adh) gene, partial cds.
AY102230	7243	Drosophila teissieri	2005-04-16	724	2002-06-20	Drosophila teissieri strain Maz4N jingwei (jgw) gene, adh-derived region, partial cds.
AY340288	40366	Drosophila americana	2005-04-16	881	2003-08-13	Drosophila americana pop-variant NN00.03X alcohol dehydrogenase (Adh) gene, partial cds.
AY340299	40366	Drosophila americana	2005-04-16	881	2003-08-13	Drosophila americana pop-variant DN01.05Y alcohol dehydrogenase (Adh) gene, partial cds.
AY340303	40366	Drosophila americana	2005-04-16	881	2003-08-13	Drosophila americana pop-variant NN97.09Y alcohol dehydrogenase (Adh) gene, partial cds.
LC057203	51159	Drosophila lutescens	2019-06-04	837	2019-06-04	Drosophila lutescens Adh gene for alcohol dehydrogenase, partial cds, strain: AK96-3.
AB703321	77129	Drosophila helvetica	2012-03-18	405	2012-03-18	Drosophila helvetica Adh gene for alcohol dehydrogenase, partial cds, clone: D.helvetica.
AB932669	38840	Drosophila putrida	2014-10-26	856	2014-10-26	Drosophila putrida Adh gene for alcohol dehydrogenase, partial cds, strain: E-22401.
AF476924	67532	Drosophila quadraria	2005-04-15	405	2002-04-26	Drosophila quadraria strain 14028-0651.0 alcohol dehydrogenase (Adh) gene, partial cds.
AY102221	7243	Drosophila teissieri	2005-04-16	724	2002-06-20	Drosophila teissieri strain chi4 jingwei (jgw) gene, adh-derived region, partial cds.
AY102233	7243	Drosophila teissieri	2005-04-16	724	2002-06-20	Drosophila teissieri strain taiq jingwei (jgw) gene, adh-derived region, partial cds.
AY874370	7241	Drosophila subobscura	2005-05-31	1406	2005-05-31	Drosophila subobscura strain line 22 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AB703317	7216	Drosophila ambigua	2012-03-18	405	2012-03-18	Drosophila ambigua Adh gene for alcohol dehydrogenase, partial cds, clone: D.ambigua.
AF136654	95109	Drosophila americana americana	2005-04-15	884	1999-06-03	Drosophila americana americana D.am-.3X alcohol dehydrogenase (Adh) gene, partial cds.
AY102228	7243	Drosophila teissieri	2005-04-16	724	2002-06-20	Drosophila teissieri strain eua12 jingwei (jgw) gene, adh-derived region, partial cds.
AY102234	7243	Drosophila teissieri	2005-04-16	724	2002-06-20	Drosophila teissieri strain uz23 jingwei (jgw) gene, adh-derived region, partial cds.
AY102236	7243	Drosophila teissieri	2005-04-16	724	2002-06-20	Drosophila teissieri strain uz33 jingwei (jgw) gene, adh-derived region, partial cds.
AY340296	40366	Drosophila americana	2005-04-16	881	2003-08-13	Drosophila americana pop-variant DN01.01Y alcohol dehydrogenase (Adh) gene, partial cds.
AY874365	7241	Drosophila subobscura	2005-05-31	1406	2005-05-31	Drosophila subobscura strain line 7 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
AY874373	7241	Drosophila subobscura	2005-05-31	1419	2005-05-31	Drosophila subobscura strain line 33 alcohol dehydrogenase (Adh-Twain) gene, partial cds.
EF560580	306031	Drosophila pavani	2008-07-12	626	2008-05-01	Drosophila pavani pop-variant La Florida alcohol dehydrogenase (adh) gene, partial cds.
AY340283	40366	Drosophila americana	2005-04-16	881	2003-08-13	Drosophila americana pop-variant DN01.05X alcohol dehydrogenase (Adh) gene, partial cds.
AB932650	133981	Drosophila cardini	2014-10-26	833	2014-10-26	Drosophila cardini Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701.
AY695387	133974	Drosophila caribiana	2006-11-14	1141	2006-08-01	Drosophila caribiana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.
